Title,Author,Language,Year,Approximate Sales,Genre
The Lord of the Rings,J. R. R. Tolkien,English,1954,150000000,fantasy
The Alchemist ,Paulo Coelho,Portuguese,1988,150000000,fantasy
The Little Prince ,Antoine de Saint-Exupéry,French,1943,140000000,fantasy (picture book)
Grimms' Fairy Tales ,Jacob and Wilhelm Grimm,German,1812,135000000,folklore
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120000000,fantasy
The Hobbit,J. R. R. Tolkien,English,1937,100000000,fantasy
And Then There Were None,Agatha Christie,English,1939,100000000,mystery
Dream of the Red Chamber ,Cao Xueqin,Chinese,1791,100000000,family saga
"The Lion, the Witch and the Wardrobe",C. S. Lewis,English,1950,85000000,fantasy
She: A History of Adventure,H. Rider Haggard,English,1887,83000000,adventure
The Adventures of Pinocchio ,Carlo Collodi,Italian,1881,80000000,fantasy
Vardi Wala Gunda,Ved Prakash Sharma,Hindi,1992,80000000,detective
The Da Vinci Code,Dan Brown,English,2003,80000000,mystery thriller
Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77000000,fantasy
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65000000,fantasy
Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65000000,fantasy
Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65000000,fantasy
Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65000000,fantasy
Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65000000,fantasy
The Catcher in the Rye,J. D. Salinger,English,1951,65000000,coming-of-age
Think and Grow Rich,Napoleon Hill,English,1937,60000000,self-improvement
The Bridges of Madison County,Robert James Waller,English,1992,60000000,romance
Ben-Hur: A Tale of the Christ,Lew Wallace,English,1880,50000000,historical
You Can Heal Your Life,Louise Hay,English,1984,50000000,self-improvement
One Hundred Years of Solitude ,Gabriel García Márquez,Spanish,1967,50000000,magic realism
Lolita,Vladimir Nabokov,English,1955,50000000,general
Heidi,Johanna Spyri,German,1880,50000000,children's fiction
The Common Sense Book of Baby and Child Care,Dr. Benjamin Spock,English,1946,50000000,manual
Anne of Green Gables,Lucy Maud Montgomery,English,1908,50000000,general
Black Beauty,Anna Sewell,English,1877,50000000,children's literature
The Name of the Rose ,Umberto Eco,Italian,1980,50000000,"historical novel, mystery"
The Eagle Has Landed,Jack Higgins,English,1975,50000000,"war, thriller"
Watership Down,Richard Adams,English,1972,50000000,fantasy
The Hite Report,Shere Hite,English,1976,50000000,Unknown
Charlotte's Web,E.B. White; illustrated by Garth Williams,English,1952,50000000,children's fiction
The Ginger Man,J. P. Donleavy,English,1955,50000000,Unknown
The Tale of Peter Rabbit,Beatrix Potter,English,1902,45000000,Unknown
Jonathan Livingston Seagull,Richard Bach,English,1970,44000000,Unknown
The Very Hungry Caterpillar,Eric Carle,English,1969,43000000,Unknown
A Message to Garcia,Elbert Hubbard,English,1899,40000000,Unknown
Sophie's World ,Jostein Gaarder,Norwegian,1991,40000000,Unknown
Flowers in the Attic,V. C. Andrews,English,1979,40000000,Unknown
To Kill a Mockingbird,Harper Lee,English,1960,40000000,Unknown
