Book Link	Book Title	Genre
/wiki/The_Lord_of_the_Rings	The Lord of the Rings	 Fantasy, Adventure
/wiki/The_Alchemist_(novel)	The Alchemist (novel)	Quest, adventure, fantasy
/wiki/The_Little_Prince	The Little Prince	unknown
/wiki/Grimms%27_Fairy_Tales	Grimms' Fairy Tales	 Fairy tale, Folklore
/wiki/Harry_Potter_and_the_Philosopher%27s_Stone	Harry Potter and the Philosopher's Stone	Fantasy
/wiki/The_Hobbit	The Hobbit	 High fantasy, Juvenile fantasy
/wiki/And_Then_There_Were_None	And Then There Were None	Mystery, crime, psychological thriller, horror
/wiki/Dream_of_the_Red_Chamber	Dream of the Red Chamber	Novel, Family saga
/wiki/The_Lion,_the_Witch_and_the_Wardrobe	The Lion, the Witch and the Wardrobe	Children's fantasy novel, Christian literature
/wiki/She:_A_History_of_Adventure	She: A History of Adventure	Fantasy, adventure, romance, Gothic
/wiki/The_Adventures_of_Pinocchio	The Adventures of Pinocchio	Fiction, literature, fantasy, children's book, adventure
/wiki/Vardi_Wala_Gunda	Ved Prakash Sharma	unknown
/wiki/The_Da_Vinci_Code	The Da Vinci Code	Mystery, Detective fiction, Conspiracy fiction, Thriller
/wiki/Harry_Potter_and_the_Chamber_of_Secrets	Harry Potter and the Chamber of Secrets	Fantasy
/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban	Harry Potter and the Prisoner of Azkaban	Fantasy
/wiki/Harry_Potter_and_the_Goblet_of_Fire	Harry Potter and the Goblet of Fire	Fantasy
/wiki/Harry_Potter_and_the_Order_of_the_Phoenix	Harry Potter and the Order of the Phoenix	Fantasy
/wiki/Harry_Potter_and_the_Half-Blood_Prince	Harry Potter and the Half-Blood Prince	Fantasy
/wiki/Harry_Potter_and_the_Deathly_Hallows	Harry Potter and the Deathly Hallows	Fantasy
/wiki/The_Catcher_in_the_Rye	The Catcher in the Rye	Realistic fictionComing-of-age fiction
/wiki/Think_and_Grow_Rich	Think and Grow Rich	Non-fiction
/wiki/The_Bridges_of_Madison_County	The Bridges of Madison County	unknown
/wiki/Ben-Hur:_A_Tale_of_the_Christ	Ben-Hur: A Tale of the Christ	Historical fiction, Christian literature
/wiki/You_Can_Heal_Your_Life	You Can Heal Your Life	unknown
/wiki/One_Hundred_Years_of_Solitude	One Hundred Years of Solitude	Magic realism, novel
/wiki/Lolita	Lolita	Novel
/wiki/Heidi	Heidi	Children's fiction
/wiki/The_Common_Sense_Book_of_Baby_and_Child_Care	The Common Sense Book of Baby and Child Care	unknown
/wiki/Anne_of_Green_Gables	Anne of Green Gables	Novel
/wiki/Black_Beauty	Black Beauty	Children's literature
/wiki/The_Name_of_the_Rose	The Name of the Rose	Historical mystery novel
/wiki/The_Eagle_Has_Landed_(novel)	The Eagle Has Landed (novel)	War, Thriller Novel
/wiki/Watership_Down	Watership Down	Fantasy
/wiki/The_Hite_Report	Shere Hite	unknown
/wiki/Charlotte%27s_Web	Charlotte's Web	Children's
/wiki/The_Ginger_Man	The Ginger Man	unknown
/wiki/The_Tale_of_Peter_Rabbit	The Tale of Peter Rabbit	Children's literature
/wiki/Jonathan_Livingston_Seagull	Jonathan Livingston Seagull	Spiritual, self-help, novella
/wiki/The_Very_Hungry_Caterpillar	The Very Hungry Caterpillar	Children's literature (Children's picture book)
/wiki/A_Message_to_Garcia	A Message to Garcia	Literature
/wiki/Sophie%27s_World	Sophie's World	Philosophical novel
/wiki/Flowers_in_the_Attic	Flowers in the Attic	Gothic horror  Family saga
/wiki/To_Kill_a_Mockingbird	To Kill a Mockingbird	Southern Gothic, Bildungsroman
/wiki/Angels_%26_Demons	Angels & Demons	unknown
/wiki/Kane_and_Abel_(novel)	Kane and Abel (novel)	unknown
/wiki/How_the_Steel_Was_Tempered	How the Steel Was Tempered	Novel
/wiki/War_and_Peace	War and Peace	Novel (Historical novel)
/wiki/The_Diary_of_a_Young_Girl	The Diary of a Young Girl	Autobiography
/wiki/Your_Erroneous_Zones	Your Erroneous Zones	unknown
/wiki/The_Purpose_Driven_Life	The Purpose Driven Life	unknown
